"ISO Code","Country/territory","Total area of terrestrial PAs in country/territory (km^2) World Database on Protected Areas 2020","Year(s) of the data","Area of terrestrial PA surveyed (km^2)","Percentage of the total terrestrial PA area of the country/territory surveyed","All personnel in surveyed area","Rangers in surveyed area","Non-rangers in surveyed area","Observed densities for all personnel in surveyed area( km^2 of PA per person)","Observed densities for rangers in surveyed area (km^2 of PA per person)","Total personnel","Total rangers","Density of all personnel (km^2 of PA per person))","Density of rangers (km^2 of PA per person)"
"CUB","Cuba",18119,"2020",14494,80,2670,2070,600,5.4,7,3338,2588,5.4,7
"CYM","Cayman Islands",31,"2020",31,100,13,11,2,2.4,2.8,13,11,2.4,2.8
"CZE","Czechia",17268,"2018",12997,75.3,797,682,115,16.3,19.1,1059,906,16.3,19.1
"DEU","Germany",135166,"2020",81248,60.1,2350,NA,NA,34.6,NA,3910,2530,34.6,53.4
"DMA","Dominica",168,"2020",168,100,44,36,8,3.8,4.7,44,36,3.8,4.7
"DNK","Denmark",7691,"2019",2492,32.4,67,NA,NA,37.2,NA,207,268,37.2,28.7
"DOM","Dominican Republic",12727,"2021",12727,100,1122,1050,72,11.3,12.1,1122,1050,11.3,12.1
"DZA","Algeria",107865,"2018",88930,82.4,579,207,372,153.6,429.6,702,251,153.6,429.6
"ECU","Ecuador",57706,"2021",57706,100,824,781,43,70,73.9,824,781,70,73.9
"EGY","Egypt",129390,"2017",129390,100,812,692,120,159.3,187,812,692,159.3,187
"ESP","Spain",142573,"2016, 2018",44328,31.1,1997,619,1378,22.2,71.6,6423,1991,22.2,71.6
"EST","Estonia",9633,"2014",8175,84.9,513,NA,NA,15.9,NA,604,132,15.9,72.9
"ETH","Ethiopia",178725,"2019",178725,100,1169,1005,164,152.9,177.8,1169,1005,152.9,177.8
"FIN","Finland",44914,"2017",35309,78.6,432,100,332,81.7,353.1,550,127,81.7,353.1
"FJI","Fiji",1037,"2016",310,29.9,31,13,18,10,23.8,104,43,10,23.8
"FRA","France",149774,"2017",149747,100,3511,1673,1838,42.7,89.5,3512,1673,42.7,89.5
"GAB","Gabon",59708,"2014",34595,57.9,574,324,250,60.3,106.8,991,559,60.3,106.8
"GBR","United Kingdom",70478,"2020",70478,100,4290,3760,530,16.4,18.7,4290,3760,16.4,18.7
"GEO","Georgia",6501,"2014",6501,100,409,313,96,15.9,20.8,409,313,15.9,20.8
"GHA","Ghana",36675,"2019",14840,40.5,797,710,87,18.6,20.9,1970,1755,18.6,20.9
"GIN","Guinea",88286,"2020",30000,34,243,137,106,123.5,219,715,403,123.5,219
"GLP","Guadeloupe",1172,"2020",1172,100,68,28,40,17.2,41.9,68,28,17.2,41.9
"GMB","Gambia",830,"2017",830,100,205,180,25,4,4.6,205,180,4,4.6
"GNB","Guinea-Bissau",8954,"2018",8480,94.7,95,56,39,89.3,151.4,100,59,89.3,151.4
"GNQ","Equatorial Guinea",5228,"2020",5228,100,53,40,13,98.6,130.7,53,40,98.6,130.7
"GRC","Greece",46842,"2021",46842,100,330,117,213,141.9,400.4,330,117,141.9,400.4
"GTM","Guatemala",22166,"2018",13716,61.9,1113,727,386,12.3,18.9,1799,1175,12.3,18.9
"GUF","French Guiana",43588,"2020",34000,78,92,12,80,369.6,2833.3,118,15,369.6,2833.3
"GUY","Guyana",17953,"2020",17953,100,103,41,62,174.3,437.9,103,41,174.3,437.9
"HND","Honduras",26568,"2018",21923,82.5,112,48,64,195.7,456.7,136,58,195.7,456.7
"HRV","Croatia",21811,"2020",21811,100,574,193,381,38,113,574,193,38,113
"HTI","Haiti",2357,"2020",1954,82.9,164,109,55,11.9,17.9,198,131,11.9,17.9
"HUN","Hungary",21048,"2014",8074,38.4,811,253,558,10,31.9,2114,660,10,31.9
"IDN","Indonesia",231946,"2019",141425,61,6624,2197,4427,21.4,64.4,10864,3603,21.4,64.4
"IND","India",230168,"2018, 2020",160415,69.7,52780,42362,10418,3,3.8,75730,60782,3,3.8
"IRL","Ireland",10123,"2020",10123,100,420,90,330,24.1,112.5,420,90,24.1,112.5
"IRN","Iran (Islamic Republic of)",140226,"2020",113584,81,7000,3500,3500,16.2,32.5,8642,4321,16.2,32.5
"ISL","Iceland",20354,"2020",20154,99,94,63,31,214.4,319.9,95,64,214.4,319.9
"ISR","Israel",5133,"2020",4494,87.6,1300,178,1122,3.5,25.2,1485,203,3.5,25.2
"ITA","Italy",64767,"2018",31744,49,7934,2181,5753,4,14.6,16188,4450,4,14.6
"JAM","Jamaica",1760,"2020",1155,65.6,71,39,32,16.3,29.6,108,59,16.3,29.6
"JOR","Jordan",4013,"2021",2798,69.7,NA,81,NA,NA,34.5,351,116,11.4,34.5
"JPN","Japan",109937,"2019",15165,13.8,NA,260,NA,NA,58.3,6773,1885,16.2,58.3
"KAZ","Kazakhstan",272795,"2020",247408,90.7,4748,3690,1058,52.1,67,5235,4069,52.1,67
"KEN","Kenya",72890,"2017, 2019",68874,94.5,7310,4566,2744,9.4,15.1,7736,4832,9.4,15.1
"KGZ","Kyrgyz Republic",13408,"2020",11311,84.4,377,269,108,30,42,447,319,30,42
"KHM","Cambodia",72527,"2020",55634,76.7,1343,1170,173,41.4,47.6,1751,1525,41.4,47.6
"KNA","Saint Kitts and Nevis",62,"2017",62,100,NA,5,NA,NA,12.4,13,5,4.8,12.4
"KOR","Korea, Rep.",16917,"2020",6726,39.8,2098,455,1643,3.2,14.8,5277,1144,3.2,14.8
"KOS","Kosovo",1189,"2012",1160,97.6,43,21,22,27,55.2,44,22,27,55.2
"LAO","Lao PDR",43220,"2020",41118,95.1,563,393,170,73,104.6,592,413,73,104.6
"LBN","Lebanon",225,"2021",225,100,100,25,75,2.2,9,100,25,2.2,9
"LBR","Liberia",3916,"2020",3915,100,180,167,13,21.8,23.4,180,167,21.8,23.4
"LBY","Libya",2084,"2017",2084,100,168,95,73,12.4,21.9,168,95,12.4,21.9
"LCA","Saint Lucia",117,"2019",117,100,44,25,19,2.7,4.7,44,25,2.7,4.7
"LKA","Sri Lanka",19897,"2020",17670,88.8,1201,943,258,14.7,18.7,1352,1062,14.7,18.7
"LSO","Lesotho",153,"2017",153,100,57,48,9,2.7,3.2,57,48,2.7,3.2
"LTU","Lithuania",11028,"2014",5160,46.8,286,31,255,18,166.5,611,66,18,166.5
"LVA","Latvia",11735,"2017",11735,100,119,50,69,98.6,234.7,119,50,98.6,234.7
"MAR","Morocco",17382,"2017",4592,26.4,168,62,106,27.3,74.1,636,235,27.3,74.1
"MDA","Moldova",3882,"2014",1930,49.7,770,446,324,2.5,4.3,1549,897,2.5,4.3
"MDG","Madagascar",44521,"2019",26267,59,1367,690,677,19.2,38.1,2317,1170,19.2,38.1
"MEX","Mexico",284801,"2020",170992,60,1222,655,567,139.9,261.1,2035,1091,139.9,261.1
"MKD","North Macedonia",2688,"2020",1941,72.2,211,75,136,9.2,25.9,292,104,9.2,25.9
"MLI","Mali",94591,"2009, 2020",39180,41.4,NA,124,NA,NA,316,1063,299,89,316
"MMR","Myanmar",44289,"2010",39084,88.2,543,400,143,72,97.7,615,453,72,97.7
"MNE","Montenegro",1908,"2013",542,28.4,99,38,61,5.5,14.3,349,134,5.5,14.3
"MNG","Mongolia",310016,"2019",267000,86.1,555,390,165,481.1,684.6,644,453,481.1,684.6
"MOZ","Mozambique",233249,"2016",69583,29.8,NA,652,NA,NA,106.7,1480,2186,157.6,106.7
"MRT","Mauritania",6508,"2008, 2016",6269,96.3,148,35,113,42.4,179.1,154,36,42.4,179.1
"MSR","Montserrat",11,"2020",11,100,6,4,2,1.8,2.8,6,4,1.8,2.8
"MWI","Malawi",27190,"2017",24209,89,1168,872,296,20.7,27.8,1312,979,20.7,27.8
"MYS","Malaysia",44205,"2012, 2018",19761,44.7,2769,958,1811,7.1,20.6,6194,2143,7.1,20.6
"NAM","Namibia",313534,"2017",129210,41.2,386,358,28,334.7,360.9,937,869,334.7,360.9
"NER","Niger",216586,"2010, 2016",184162,85,113,68,45,1629.8,2708.3,133,80,1629.8,2708.3
"NGA","Nigeria",127332,"2017",37917,29.8,1982,1908,74,19.1,19.9,6656,6407,19.1,19.9
"NIC","Nicaragua",27585,"2020",27585,100,NA,369,NA,NA,74.8,420,369,65.7,74.8
"NLD","Netherlands",7914,"2020",2730,34.5,1260,101,1159,2.2,27,3653,293,2.2,27
"NOR","Norway",57272,"2020",56574,98.8,183,97,86,309.1,583.2,185,98,309.1,583.2
"NPL","Nepal",34898,"2019",34898,100,1909,1030,879,18.3,33.9,1909,1030,18.3,33.9
"NZL","New Zealand",90051,"2020",85804,95.3,1509,1042,467,56.9,82.3,1584,1094,56.9,82.3
"PAK","Pakistan",98288,"2020",48745,49.6,2178,2010,168,22.4,24.3,4392,4053,22.4,24.3
"PAN","Panama",24111,"2020",15773,65.4,342,274,68,46.1,57.6,523,419,46.1,57.6
"PER","Peru",280941,"2020",226469,80.6,923,710,213,245.4,319,1145,881,245.4,319
"PHL","Philippines",47412,"2020",47412,100,1524,866,658,31.1,54.7,1524,866,31.1,54.7
"PLW","Palau",221,"2021",210,95,95,62,33,2.2,3.4,100,65,2.2,3.4
"PNG","Papua New Guinea",17248,"2020",17248,100,290,260,30,59.5,66.3,290,260,59.5,66.3
"POL","Poland",123339,"2020",13996,11.3,1550,101,1449,9,138.6,13659,890,9,138.6
"PRT","Portugal",21112,"2020",21112,100,1307,330,977,16.2,64,1307,330,16.2,64
"PRY","Paraguay",57473,"2021",27000,47,70,60,10,385.7,450,149,128,385.7,450
"PSE","State of Palestine",517,"2017",15,2.9,NA,40,NA,NA,0.4,NA,1379,NA,0.4
"REU","Reunion",1601,"2016",1058,66.1,79,NA,NA,13.4,NA,120,91,13.4,17.5
"ROU","Romania",58225,"2020",58225,100,873,336,537,66.7,173.3,873,336,66.7,173.3
"RUS","Russian Federation",1932707,"2019",748937,38.8,10450,3818,6632,71.7,196.2,26967,9853,71.7,196.2
"RWA","Rwanda",2317,"2020",1122,48.4,270,122,148,4.2,9.2,558,252,4.2,9.2
"SAU","Saudi Arabia",92064,"2015",86582,94,1315,NA,NA,65.8,NA,1398,822,65.8,112
"SDN","Sudan",42698,"2021",42698,100,1864,862,1002,22.9,49.5,1864,862,22.9,49.5
"SGP","Singapore",34,"2019",34,100,19,6,13,1.8,5.7,19,6,1.8,5.7
"SLE","Sierra Leone",9270,"2020",3500,37.8,NA,244,NA,NA,14.3,362,646,25.6,14.3
"SLV","El Salvador",1778,"2018",1778,100,189,179,10,9.4,9.9,189,179,9.4,9.9
"SRB","Serbia",6766,"2014",4360,64.4,845,500,345,5.2,8.7,1311,776,5.2,8.7
"STP","Sao Tome and Principe",289,"2012",289,100,16,10,6,18.1,28.9,16,10,18.1,28.9
"SUR","Suriname",21426,"2020",21426,100,NA,52,NA,NA,412,148,52,144.7,412
"SVK","Slovak Republic",18396,"2019",18128,98.5,422,120,302,43,151.1,428,122,43,151.1
"SVN","Slovenia",8197,"2019",8197,100,191,85,106,42.9,96.4,191,85,42.9,96.4
"SWZ","Eswatini",738,"2017",738,100,377,299,78,2,2.5,377,299,2,2.5
"TCD","Chad",267716,"2012",155973,58.3,618,572,46,252.4,272.7,1061,982,252.4,272.7
"TGO","Togo",16081,"2008",4643,28.9,115,108,7,40.4,43,398,374,40.4,43
"THA","Thailand",96035,"2019",96035,100,5543,4088,1455,17.3,23.5,5543,4088,17.3,23.5
"TJK","Tajikistan",31690,"2020",31690,100,NA,274,NA,NA,115.7,699,274,45.4,115.7
"TKM","Turkmenistan",15336,"2020",15336,100,451,201,250,34,76.3,451,201,34,76.3
"TLS","Timor-Leste",2401,"2020",1236,51.5,13,13,0,95.1,95.1,25,25,95.1,95.1
"TTO","Trinidad and Tobago",1595,"2020",1595,100,NA,166,NA,NA,9.6,159,166,10.1,9.6
"TUN","Tunisia",12286,"2018",12286,100,698,561,137,17.6,21.9,698,561,17.6,21.9
"TUR","Turkey",78836,"2020",53731,68.2,4574,1786,2788,11.7,30.1,6711,2620,11.7,30.1
"TWN","Taiwan",7146,"2020",6951,97.3,819,145,674,8.5,47.9,842,149,8.5,47.9
"TZA","Tanzania",362264,"2020",346032,95.5,5050,3030,2020,68.5,114.2,5287,3172,68.5,114.2
"UGA","Uganda",39054,"2018",24750,63.4,1874,1485,389,13.2,16.7,2957,2343,13.2,16.7
"UKR","Ukraine",77621,"2012",7000,9,2132,923,1209,3.3,7.6,23641,10235,3.3,7.6
"URY","Uruguay",6557,"2021",3341,51,62,36,26,53.9,92.8,122,71,53.9,92.8
"USA","USA",1235472,"2020",608490,49.3,41963,11030,30933,14.5,55.2,85201,22395,14.5,55.2
"UZB","Uzbekistan",25976,"2014",11712,45.1,406,185,221,28.8,63.3,900,410,28.8,63.3
"VCT","Saint Vincent and the Grenadines",92,"2020",91,98.9,42,25,17,2.2,3.6,42,25,2.2,3.6
"VEN","Venezuela",521790,"2021",521790,100,12973,3525,9448,40.2,148,12973,3525,40.2,148
"VGB","British Virgin islands",16,"2020",16,100,15,10,5,1.1,1.6,15,10,1.1,1.6
"VNM","Vietnam",24994,"2020",24994,100,3282,2277,1005,7.6,11,3282,2277,7.6,11
"ZAF","South Africa",106157,"2017",73749,69.5,6810,4372,2438,10.8,16.9,9803,6293,10.8,16.9
"ZMB","Zambia",311733,"2020",240800,77.2,1311,911,400,183.7,264.3,1697,1179,183.7,264.3
"ZWE","Zimbabwe",311773,"2020",13197,4.2,NA,338,NA,NA,39,918,7985,339.7,39
"ZZZ","Other country",52240,"2020",42756,81.8,457,357,100,93.6,119.8,558,436,93.6,119.8
"CCK","Cocos (Keeling) Islands",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"FSM","Micronesia (Federated States of)",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"MAC","Macau",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"NRU","Nauru",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"SMR","San Marino",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"SOM","Somalia",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"SXM","Sint Maarten (Dutch part)",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"VAT","Vatican",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"WLF","Wallis and Futuna",0,NA,0,100,0,0,0,NA,NA,0,0,NA,NA
"ALA","Åland Islands",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASM","American Samoa",33,NA,NA,NA,NA,NA,NA,NA,NA,11,5,3.1,6.1
"AND","Andorra",127,NA,NA,NA,NA,NA,NA,NA,NA,19,10,6.6,12.3
"BHR","Bahrain",45,NA,NA,NA,NA,NA,NA,NA,NA,46,30,1,1.5
"BRB","Barbados",6,NA,NA,NA,NA,NA,NA,NA,NA,12,5,0.5,1.2
"BLR","Belarus",28687,NA,NA,NA,NA,NA,NA,NA,NA,689,435,41.6,65.9
"BMU","Bermuda",2,NA,NA,NA,NA,NA,NA,NA,NA,13,2,0.2,0.9
"BES","Bonaire, Sint Eustatius and Saba",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,18.7
"IOT","British Indian Ocean Territory",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,44.3
"BRN","Brunei Darussalam",2794,NA,NA,NA,NA,NA,NA,NA,NA,169,68,16.5,41
"CXR","Christmas Island",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"COM","Comoros",574,NA,NA,NA,NA,NA,NA,NA,NA,52,56,11,10.2
"COK","Cook Islands",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,18.6
"CUW","Curaçao",71,NA,NA,NA,NA,NA,NA,NA,NA,19,12,3.8,5.9
"CYP","Cyprus",3498,NA,NA,NA,NA,NA,NA,NA,NA,421,110,8.3,31.7
"PRK","Democratic People's Republic of Korea",2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,10.2
"DJI","Djibouti",344,NA,NA,NA,NA,NA,NA,NA,NA,44,26,7.9,13.3
"ERI","Eritrea",5936,NA,NA,NA,NA,NA,NA,NA,NA,370,145,16.1,40.9
"FLK","Falkland Islands",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"FRO","Faroe Islands",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12.3
"PYF","French Polynesia",74,NA,NA,NA,NA,NA,NA,NA,NA,33,10,2.2,7.5
"GIB","Gibraltar",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.3
"GRD","Grenada",36,NA,NA,NA,NA,NA,NA,NA,NA,18,8,2,4.7
"GUM","Guam",25,NA,NA,NA,NA,NA,NA,NA,NA,16,7,1.6,3.6
"GGY","Guernsey",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.2
"HKG","Hong Kong",462,NA,NA,NA,NA,NA,NA,NA,NA,519,204,0.9,2.3
"IRQ","Iraq",6714,NA,NA,NA,NA,NA,NA,NA,NA,818,389,8.2,17.2
"IMN","Isle of Man",32,NA,NA,NA,NA,NA,NA,NA,NA,15,5,2.2,6.3
"JEY","Jersey",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2.9
"KIR","Kiribati",231,NA,NA,NA,NA,NA,NA,NA,NA,34,16,6.9,14
"KWT","Kuwait",2979,NA,NA,NA,NA,NA,NA,NA,NA,296,172,10.1,17.4
"LIE","Liechtenstein",71,NA,NA,NA,NA,NA,NA,NA,NA,15,7,4.6,10.5
"LUX","Luxembourg",1333,NA,NA,NA,NA,NA,NA,NA,NA,178,69,7.5,19.2
"MDV","Maldives",7,NA,NA,NA,NA,NA,NA,NA,NA,23,9,0.3,0.8
"MLT","Malta",100,NA,NA,NA,NA,NA,NA,NA,NA,67,29,1.5,3.4
"MHL","Marshall Islands",34,NA,NA,NA,NA,NA,NA,NA,NA,34,7,1,5.1
"MTQ","Martinique",926,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,16.8
"MUS","Mauritius",97,NA,NA,NA,NA,NA,NA,NA,NA,70,31,1.4,3.1
"MYT","Mayotte",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,3.6
"MCO","Monaco",1,NA,NA,NA,NA,NA,NA,NA,NA,47,4,0,0.3
"NCL","New Caledonia",11419,NA,NA,NA,NA,NA,NA,NA,NA,257,78,44.5,147
"NIU","Niue",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NFK","Norfolk island",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"MNP","Northern Mariana Islands",38,NA,NA,NA,NA,NA,NA,NA,NA,3,5,12.6,8.1
"OMN","Oman",11112,NA,NA,NA,NA,NA,NA,NA,NA,302,177,36.7,62.7
"PCN","Pitcairn",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"PRI","Puerto Rico",667,NA,NA,NA,NA,NA,NA,NA,NA,202,89,3.3,7.5
"QAT","Qatar",1805,NA,NA,NA,NA,NA,NA,NA,NA,231,122,7.8,14.8
"BLM","Saint Barthelemy",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHN","Saint Helena, Ascension and Tristan da Cunha",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,62.8
"MAF","Saint Martin (French part)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.3
"SPM","Saint Pierre and Miquelon",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"WSM","Samoa",238,NA,NA,NA,NA,NA,NA,NA,NA,24,15,10,15.5
"SYC","Seychelles",300,NA,NA,NA,NA,NA,NA,NA,NA,37,18,8.1,16.3
"SLB","Solomon Islands",530,NA,NA,NA,NA,NA,NA,NA,NA,38,25,13.8,20.9
"SSD","South Sudan",98214,NA,NA,NA,NA,NA,NA,NA,NA,419,640,234.5,153.3
"SJM","Svalbard and Jan Mayen",39738,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,920.1
"SWE","Sweden",64987,NA,NA,NA,NA,NA,NA,NA,NA,1488,576,43.7,112.8
"SYR","Syrian Arab Republic",1293,NA,NA,NA,NA,NA,NA,NA,NA,208,143,6.2,9
"TKL","Tokelau",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"TON","Tonga",96,NA,NA,NA,NA,NA,NA,NA,NA,14,10,6.7,9.9
"TCA","Turks and Caicos Islands",452,NA,NA,NA,NA,NA,NA,NA,NA,24,11,18.7,41.3
"TUV","Tuvalu",6,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0.6,4.7
"UMI","United States Minor Outlying Islands",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIR","United States Virgin islands",54,NA,NA,NA,NA,NA,NA,NA,NA,18,9,3,6
"VUT","Vanuatu",528,NA,NA,NA,NA,NA,NA,NA,NA,29,20,18.3,26.6
"ESH","Western Sahara",616,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,37.3
"YEM","Yemen",3520,NA,NA,NA,NA,NA,NA,NA,NA,212,223,16.6,15.8
